Group_ID,Site,Text,URL
6,walmart,Gift Cards,http://www.walmart.com/browse/gifts-registry/gift-cards/1094765_96894_1065244/?_refineresult=true&povid=cat121828-env999999-moduleA072012-lLinkGNAV2_GiftRegistry_GiftCards
6,walmart,Gifts by Recipient,http://www.walmart.com/browse/gifts-registry/gifts-by-recipient/1094765_1077684_1100564/?_refineresult=true&povid=cat121828-env999999-moduleA121312-lLinkGNAV2_GiftRegistry_Gifts%20by%20Recipient
6,walmart,Personalized Gifts,http://www.walmart.com/cp/133224?povid=cat121828-env999999-moduleA072012-lLinkGNAV2_GiftRegistry_PersonalizedGifts
6,walmart,Specialty Gift Cards,http://www.walmart.com/browse/gifts-registry/specialty-gift-cards/1094765_96894_972339/?_refineresult=true&povid=cat121828-env999999-moduleA100412-lLinkGNAV2_GiftRegistry_SpecialtyGiftCards
6,bjs,Arts & Crafts,http://www.bjs.com/toys/arts--crafts.category.809.808.2003469.1
6,overstock,Crafts,http://www.overstock.com/Crafts-Sewing/Crafts/261/dept.html
6,overstock,Crafts & Sewing,http://www.overstock.com/Main-Street-Revolution/Crafts-Sewing/369/dept.html
6,walmart,Crafts,http://www.walmart.com/cp/Crafts/667479?povid=cat121828-env999999-moduleA072012-lLinkGNAV3_Home_Crafts
6,walmart,"Pretend Play, Arts & Crafts",http://www.walmart.com/cp/Pretend-Play-Arts-Crafts/4173?povid=cat121828-env999999-moduleA072012-lLinkGNAV5_Toys_PretendPlayArtsCrafts
7,bjs,Art Gallery,http://www.bjs.com/home/art-gallery.category.602.385.2000631.1
7,bjs,Arts & Crafts,http://www.bjs.com/toys/arts--crafts.category.809.808.2003469.1
7,overstock,Art Gallery,http://www.overstock.com/Home-Garden/Art-Gallery/216/dept.html
7,overstock,Art & School Supplies,http://www.overstock.com/Office-Supplies/Art-School-Supplies/176/dept.html
7,overstock,Art Supplies,http://www.overstock.com/Crafts-Sewing/Art-Supplies/444/dept.html
